Release Date,Observation Date,Index S
"Aug 01, 1997 (Jul)",Jul-97,56.7
"Sep 01, 1997 (Aug)",Aug-97,62
"Oct 01, 1997 (Sep)",Sep-97,56.2
"Nov 01, 1997 (Oct)",Oct-97,56.6
"Dec 01, 1997 (Nov)",Nov-97,58.5
"Jan 01, 1998 (Dec)",Dec-97,55.5
"Feb 01, 1998 (Jan)",Jan-98,57
"Mar 01, 1998 (Feb)",Feb-98,56.2
"Apr 01, 1998 (Mar)",Mar-98,54.7
"May 01, 1998 (Apr)",Apr-98,54.9
"Jun 01, 1998 (May)",May-98,56.2
"Jul 01, 1998 (Jun)",Jun-98,55.1
"Aug 01, 1998 (Jul)",Jul-98,55.8
"Sep 01, 1998 (Aug)",Aug-98,53.5
"Oct 01, 1998 (Sep)",Sep-98,55
"Nov 01, 1998 (Oct)",Oct-98,53.8
"Dec 01, 1998 (Nov)",Nov-98,52.6
"Jan 01, 1999 (Dec)",Dec-98,52.9
"Feb 01, 1999 (Jan)",Jan-99,55.6
"Mar 01, 1999 (Feb)",Feb-99,54.4
"Apr 01, 1999 (Mar)",Mar-99,55.3
"May 01, 1999 (Apr)",Apr-99,55.5
"Jun 01, 1999 (May)",May-99,55.3
"Jul 01, 1999 (Jun)",Jun-99,56.7
"Aug 01, 1999 (Jul)",Jul-99,56.2
"Sep 01, 1999 (Aug)",Aug-99,56.4
"Oct 01, 1999 (Sep)",Sep-99,56.2
"Nov 01, 1999 (Oct)",Oct-99,57.6
"Dec 01, 1999 (Nov)",Nov-99,54.9
"Jan 01, 2000 (Dec)",Dec-99,56.9
"Feb 01, 2000 (Jan)",Jan-00,56.6
"Mar 01, 2000 (Feb)",Feb-00,56.2
"Apr 01, 2000 (Mar)",Mar-00,57.4
"May 01, 2000 (Apr)",Apr-00,58
"Jun 01, 2000 (May)",May-00,57.7
"Jul 01, 2000 (Jun)",Jun-00,56.9
"Aug 01, 2000 (Jul)",Jul-00,55.3
"Sep 01, 2000 (Aug)",Aug-00,57.6
"Oct 01, 2000 (Sep)",Sep-00,56.7
"Nov 01, 2000 (Oct)",Oct-00,56.7
"Dec 01, 2000 (Nov)",Nov-00,56.2
"Jan 01, 2001 (Dec)",Dec-00,54
"Feb 01, 2001 (Jan)",Jan-01,51.6
"Mar 01, 2001 (Feb)",Feb-01,51.3
"Apr 01, 2001 (Mar)",Mar-01,50.7
"May 01, 2001 (Apr)",Apr-01,48.3
"Jun 01, 2001 (May)",May-01,49
"Jul 01, 2001 (Jun)",Jun-01,50.1
"Aug 01, 2001 (Jul)",Jul-01,48.1
"Sep 01, 2001 (Aug)",Aug-01,46.9
"Oct 01, 2001 (Sep)",Sep-01,49.5
"Nov 01, 2001 (Oct)",Oct-01,44.8
"Dec 01, 2001 (Nov)",Nov-01,48.2
"Jan 01, 2002 (Dec)",Dec-01,49.7
"Feb 01, 2002 (Jan)",Jan-02,48.9
"Mar 01, 2002 (Feb)",Feb-02,52.7
"Apr 01, 2002 (Mar)",Mar-02,52.8
"May 01, 2002 (Apr)",Apr-02,53.5
"Jun 01, 2002 (May)",May-02,54.8
"Jul 01, 2002 (Jun)",Jun-02,52.5
"Aug 01, 2002 (Jul)",Jul-02,50.4
"Sep 01, 2002 (Aug)",Aug-02,50.9
"Oct 01, 2002 (Sep)",Sep-02,52.3
"Nov 01, 2002 (Oct)",Oct-02,51.4
"Dec 01, 2002 (Nov)",Nov-02,52.9
"Jan 01, 2003 (Dec)",Dec-02,52.3
"Feb 01, 2003 (Jan)",Jan-03,53.3
"Mar 01, 2003 (Feb)",Feb-03,52.6
"Apr 01, 2003 (Mar)",Mar-03,49.1
"May 01, 2003 (Apr)",Apr-03,50.1
"Jun 01, 2003 (May)",May-03,52.8
"Jul 01, 2003 (Jun)",Jun-03,54.3
"Aug 01, 2003 (Jul)",Jul-03,57.3
"Sep 01, 2003 (Aug)",Aug-03,59.1
"Oct 01, 2003 (Sep)",Sep-03,57.6
"Nov 01, 2003 (Oct)",Oct-03,58.7
"Dec 01, 2003 (Nov)",Nov-03,57.5
"Jan 01, 2004 (Dec)",Dec-03,56.8
"Feb 01, 2004 (Jan)",Jan-04,61.2
"Mar 01, 2004 (Feb)",Feb-04,58
"Apr 01, 2004 (Mar)",Mar-04,58.3
"May 01, 2004 (Apr)",Apr-04,59.6
"Jun 01, 2004 (May)",May-04,58.5
"Jul 01, 2004 (Jun)",Jun-04,58.6
"Aug 01, 2004 (Jul)",Jul-04,58.5
"Sep 01, 2004 (Aug)",Aug-04,57.3
"Oct 01, 2004 (Sep)",Sep-04,57.9
"Nov 01, 2004 (Oct)",Oct-04,58.8
"Dec 01, 2004 (Nov)",Nov-04,58.4
"Jan 01, 2005 (Dec)",Dec-04,59.6
"Feb 01, 2005 (Jan)",Jan-05,58
"Mar 01, 2005 (Feb)",Feb-05,59.4
"Apr 01, 2005 (Mar)",Mar-05,58
"May 01, 2005 (Apr)",Apr-05,55.6
"Jun 01, 2005 (May)",May-05,55.3
"Jul 01, 2005 (Jun)",Jun-05,58.1
"Aug 01, 2005 (Jul)",Jul-05,59.5
"Sep 01, 2005 (Aug)",Aug-05,61.3
"Oct 01, 2005 (Sep)",Sep-05,55.7
"Nov 01, 2005 (Oct)",Oct-05,57.4
